INDEX-1	INDEX-2	TMP-PMI-VALUE	PMI-VALUE	TMP-ALT-PMI-VALUE	ALT-PMI-VALUE
1219	4	81.7647060651	1.9125658798	0.9138724523	-0.0391144138
485	230	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
491	44	463.3333293178	2.6658935418	5.3256704981	0.7263742929
471	664	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1186	1027	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
261	1033	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1021	1	49.6428571234	1.6958567687	0.5555555556	-0.2552725051
646	1380	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
21	274	347.5000050388	2.5409548152	4.0643274854	0.6089886942
130	1000	695.0000100775	2.8419848109	8.1286549708	0.9100186899
162	8	277.9999808458	2.4440447660	3.5824742268	0.5541830747
160	70	695.0000100775	2.8419848109	8.1286549708	0.9100186899
1142	333	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1059	881	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
528	933	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
215	401	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
595	925	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
546	397	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
469	704	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
484	239	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
154	267	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
150	391	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
659	966	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1219	37	463.3333293178	2.6658935418	5.5158730159	0.7416142595
811	348	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
58	1218	695.0000100775	2.8419848109	8.1286549708	0.9100186899
82	419	695.0000100775	2.8419848109	8.1286549708	0.9100186899
20	327	278.0000001668	2.4440447962	3.1519274376	0.4985762108
621	130	695.0000100775	2.8419848109	8.1286549708	0.9100186899
204	731	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
211	514	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
882	172	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
4	757	81.7647060651	1.9125658798	0.9138724523	-0.0391144138
7	664	126.3636358007	2.1016221132	1.4300411523	0.1553485353
0	969	83.3999961858	1.9211660308	1.2010368664	0.0795563385
753	165	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
0	980	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
1269	534	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
812	361	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
123	1184	695.0000100775	2.8419848109	8.1286549708	0.9100186899
854	1051	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
866	679	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
455	1226	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
474	637	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
285	223	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
652	1260	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
8	622	139.0000000834	2.1430148005	1.5759637188	0.1975462151
0	859	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
2	808	77.2222221493	1.8877422947	0.8676654182	-0.0616477115
624	4	81.7647060651	1.9125658798	0.9138724523	-0.0391144138
585	1213	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1152	1	49.6428571234	1.6958567687	0.5555555556	-0.2552725051
482	378	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
196	1056	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
823	9	154.4444454912	2.1887722938	1.7353308365	0.2393822842
80	514	695.0000100775	2.8419848109	8.5802469136	0.9334997857
288	119	695.0000100775	2.8419848109	8.1286549708	0.9100186899
693	0	27.8000000167	1.4440447962	0.3101294065	-0.5084570520
1217	11	198.5714294792	2.2979167622	2.2712418301	0.3562633781
1182	1239	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1179	1156	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
295	67	695.0000100775	2.8419848109	8.1286549708	0.9100186899
253	1369	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1014	306	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
270	655	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
326	966	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
544	371	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1246	1137	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1275	238	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
455	1259	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1185	959	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
129	1130	695.0000100775	2.8419848109	8.1286549708	0.9100186899
651	1313	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1006	565	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
158	44	463.3333293178	2.6658935418	5.3256704981	0.7263742929
1013	139	695.0000100775	2.8419848109	8.1286549708	0.9100186899
1318	1095	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
1269	435	1389.9999235500	3.1430147764	17.1604938272	1.2345297814
670	526	1389.9999235500	3.1430147764	19.3055555556	1.2856823038
